Namr,Address1,Address2,Address3,Authority,Postcode,UPRN
Harleston Library,Swan Lane/Paddock Road,Harleston,Norfolk,Norfolk,IP20 9AW,7080017
Diss Library,Church Street,Diss,Norfolk,Norfolk,IP22 3DD,7033023
Thetford Library,2 Raymond Street,Thetford,Norfolk,Norfolk,IP24 2EA,3099036
Watton Library,George Trollope Road,Watton,Norfolk,Norfolk,IP25 6AS,3104022
Plumstead Road Library,Plumstead Road,Norwich,Norfolk,Norfolk,NR1 4JS,4104016
Reepham Library,"Bircham Institute, Market Place",Reepham,Norfolk,Norfolk,NR10 4JJ,5047015
Aylsham Library,7 Hungate Street,Aylsham,Norfolk,Norfolk,NR11 6AA,5004034
Mundesley Library,16/18 Cromer Road,Mundesley,Norfolk,Norfolk,NR11 8BE,1071012
Wroxham Library,Norwich Road,Wroxham,Norfolk,Norfolk,NR12 8RX,5065014
Stalham Library,High Street,Stalham,Norfolk,Norfolk,NR12 9AN,1093016
Acle Library,Bridewell Lane,Acle,Norfolk,Norfolk,NR13 3RA,5001015
Blofield Library,North Street,Blofield,Norfolk,Norfolk,NR13 4RQ,5009012
Brundall Library,The Street,Brundall,Norfolk,Norfolk,NR13 5LH,5013012
Loddon Library,31 Church Plain,Loddon,Norfolk,Norfolk,NR14 6EX,7066027
Poringland Library,Overtons Way,Poringland,Norfolk,Norfolk,NR14 7WB,7076015
Long Stratton Library,The Street,Long Stratton,Norfolk,Norfolk,NR15 2XJ,7067016
Attleborough Library,Connaught Road,Attleborough,Norfolk,Norfolk,NR17 2BW,3002017
Wymondham Library,Back Lane,Wymondham,Norfolk,Norfolk,NR18 0QB,7117042
Dereham Library,59 High Street,Dereham,Norfolk,Norfolk,NR19 1DZ,3025032
Norfolk & Norwich Millennium Library,"The Forum, Millennium Plain",Norwich,Norfolk,Norfolk,NR2 1AW,4109020
Fakenham Library,Oak Street,Fakenham,Norfolk,Norfolk,NR21 9DY,1029015
Wells Library,35 Station Road,Wells-next-the-Sea,Norfolk,Norfolk,NR23 1EA,1113016
Holt Library,"Wansbeck House, 9 Church Street",Holt,Norfolk,Norfolk,NR25 6BB,1049022
Sheringham Library,New Road,Sheringham,Norfolk,Norfolk,NR26 8EB,1087016
Cromer Library,Prince of Wales Road,Cromer,Norfolk,Norfolk,NR27 9HS,1022020
North Walsham Library,New Road,North Walsham,Norfolk,Norfolk,NR28 9DE,1074029
Martham Library,Black Street,Martham,Norfolk,Norfolk,NR29 4PR,6012019
Mile Cross Library,Aylsham Road,Norwich,Norfolk,Norfolk,NR3 2RJ,4110017
Great Yarmouth Library,Tolhouse Street,Great Yarmouth,Norfolk,Norfolk,NR30 2SH,6009047
Caister Library,Beach Road,Caister-on-Sea,Norfolk,Norfolk,NR30 5EX,6005014
Gorleston Library,Lowestoft Road,Great Yarmouth,Norfolk,Norfolk,NR31 6SG,6009067
Tuckswood Library,Robin Hood Road,Norwich,Norfolk,Norfolk,NR4 6BX,4115014
Earlham Library,Colman Road,Norwich,Norfolk,Norfolk,NR4 7HG,4116015
Costessey Library,Breckland Road,Costessey,Norfolk,Norfolk,NR5 0RW,7028016
West Earlham Library,17-18 Earlham West Centre,Norwich,Norfolk,Norfolk,NR5 8AD,4101029
Hellesdon Library,Middleton's Lane,Norwich,Norfolk,Norfolk,NR6 5SR,5032013
St Williams Way Library,"St William's Way, 11 Williams Loke",Norwich,Norfolk,Norfolk,NR7 0AJ,5059023
Sprowston Library,Recreation Ground Road,Sprowston,Norfolk,Norfolk,NR7 8EW,5053024
Taverham Library,Sandy Lane,Norwich,Norfolk,Norfolk,NR8 6JR,5057014
Hethersett Library,Queens Road,Hethersett,Norfolk,Norfolk,NR9 3DB,7054014
Hingham Library,The Fairland,Hingham,Norfolk,Norfolk,NR9 4HW,7055013
Gaywood Library,River Lane ,King's Lynn,Norfolk,Norfolk,PE30 4HD,
Kings Lynn Library,London Road,King's Lynn,Norfolk,Norfolk,PE30 5EZ,2045049
Dersingham Library,Chapel Road ,Dersingham,Norfolk,Norfolk,PE31 6PN,2020020
Hunstanton Library,"12, 14 Valentine Road",Hunstanton,Norfolk,Norfolk,PE36 5EF,20430150
Swaffham Library,The Pightle,Swaffham,Norfolk,Norfolk,PE37 7DF,3097023
